recipient_region,recipient_offset,baseline_payload_bytes,selected_payload_bytes,gain_bytes,net_gain_bytes,donor_count,donors,candidate_count,exact_trials
218,228534656,260936,260936,0,0,0,-,90,90
219,229584458,263732,263732,0,0,0,-,110,110
220,230627676,260604,260604,0,0,0,-,111,111
221,231673695,228802,228802,0,0,0,-,110,110
222,232720769,260537,260537,0,0,0,-,111,111
223,233768080,266269,266269,0,0,0,-,110,110
224,234819972,253980,253980,0,0,0,-,110,110
225,235867814,266889,266889,0,0,0,-,110,110
226,236918564,264955,264955,0,0,0,-,110,110
227,237961713,269034,269034,0,0,0,-,111,111
228,239008346,268210,268210,0,0,0,-,110,110
229,240064753,263889,263889,0,0,0,-,110,110
230,241116537,267402,267402,0,0,0,-,110,110
231,242172395,267259,267259,0,0,0,-,110,110
232,243222974,256070,256070,0,0,0,-,110,110
233,244274074,273519,273519,0,0,0,-,110,110
234,245326624,278875,278875,0,0,0,-,110,110
235,246375727,275746,275746,0,0,0,-,110,110
236,247430483,254459,254459,0,0,0,-,110,110
237,248479027,242051,242051,0,0,0,-,110,110
238,249525609,252169,252169,0,0,0,-,110,110
239,250573740,262561,262561,0,0,0,-,110,110
240,251621366,249189,249189,0,0,0,-,110,110
241,252671310,260014,260014,0,0,0,-,110,110
242,253718215,257439,257439,0,0,0,-,110,110
243,254771951,267073,267073,0,0,0,-,110,110
244,255816879,234856,234856,0,0,0,-,111,111
245,256863920,234809,234809,0,0,0,-,111,111
246,257912791,221271,221271,0,0,0,-,111,111
247,258960628,264427,264427,0,0,0,-,111,111
248,260009461,241777,241777,0,0,0,-,110,110
249,261059021,231580,231580,0,0,0,-,110,110
250,262114976,166052,166052,0,0,0,-,110,110
