recipient_region,recipient_offset,recipient_length,mode,expert_mask,mini_model_mask,profile_id,stream_class,donor_count,donors,vr_min_length,vr_event_count,baseline_payload_bytes,candidate_payload_bytes,gross_gain_bytes,standalone_plan_bytes,net_gain_bytes,candidate_count,exact_trials,status
86,90235200,1048918,baseline,0,0,0,10,0,-,0,0,194856,194856,0,0,0,8,8,baseline
87,91284118,1050456,baseline,0,0,0,10,0,-,0,0,199134,199134,0,0,0,8,8,baseline
88,92334574,1044990,baseline,0,0,0,10,0,-,0,0,198975,198975,0,0,0,8,8,baseline
89,93379564,1048442,baseline,0,0,0,10,0,-,0,0,206231,206231,0,0,0,8,8,baseline
90,94428006,1047516,baseline,0,0,0,10,0,-,0,0,238649,238649,0,0,0,8,8,baseline
91,95475522,1047783,baseline,0,0,0,10,0,-,0,0,225853,225853,0,0,0,8,8,baseline
92,96523305,1048709,baseline,0,0,0,10,0,-,0,0,257793,257793,0,0,0,8,8,baseline
93,97572014,1047722,baseline,0,0,0,10,0,-,0,0,277777,277777,0,0,0,8,8,baseline
94,98619736,1047395,baseline,0,0,0,10,0,-,0,0,271617,271617,0,0,0,8,8,baseline
95,99667131,1048501,baseline,0,0,0,10,0,-,0,0,259824,259824,0,0,0,8,8,baseline
96,100715632,1046864,baseline,0,0,0,10,0,-,0,0,263197,263197,0,0,0,8,8,baseline
97,101762496,1047087,baseline,0,0,0,10,0,-,0,0,251987,251987,0,0,0,8,8,baseline
98,102809583,1052458,baseline,0,0,0,10,0,-,0,0,264530,264530,0,0,0,8,8,baseline
99,103862041,1048466,baseline,0,0,0,10,0,-,0,0,251345,251345,0,0,0,110,110,baseline
100,104910507,1052545,baseline,0,0,0,10,0,-,0,0,259523,259523,0,0,0,94,94,baseline
101,105963052,1043174,baseline,0,0,0,10,0,-,0,0,272180,272180,0,0,0,110,110,baseline
102,107006226,1047887,baseline,0,0,0,10,0,-,0,0,274677,274677,0,0,0,110,110,baseline
103,108054113,1055045,baseline,0,0,0,10,0,-,0,0,261190,261190,0,0,0,111,111,baseline
104,109109158,1049000,baseline,0,0,0,10,0,-,0,0,252266,252266,0,0,0,110,110,baseline
105,110158158,1049924,baseline,0,0,0,10,0,-,0,0,264911,264911,0,0,0,110,110,baseline
106,111208082,1048061,baseline,0,0,0,10,0,-,0,0,246926,246926,0,0,0,110,110,baseline
107,112256143,1047436,baseline,0,0,0,10,0,-,0,0,252245,252245,0,0,0,110,110,baseline
108,113303579,1052130,baseline,0,0,0,10,0,-,0,0,256587,256587,0,0,0,111,111,baseline
109,114355709,1042596,baseline,0,0,0,10,0,-,0,0,249806,249806,0,0,0,110,110,baseline
110,115398305,1047858,baseline,0,0,0,10,0,-,0,0,256985,256985,0,0,0,110,110,baseline
111,116446163,1044254,baseline,0,0,0,10,0,-,0,0,248795,248795,0,0,0,111,111,baseline
112,117490417,1048143,baseline,0,0,0,10,0,-,0,0,272741,272741,0,0,0,110,110,baseline
113,118538560,1041394,baseline,0,0,0,10,0,-,0,0,270774,270774,0,0,0,110,110,baseline
114,119579954,1048210,baseline,0,0,0,10,0,-,0,0,273022,273022,0,0,0,110,110,baseline
115,120628164,1047845,baseline,0,0,0,10,0,-,0,0,239329,239329,0,0,0,111,111,baseline
116,121676009,1048337,baseline,0,0,0,10,0,-,0,0,261875,261875,0,0,0,110,110,baseline
117,122724346,1039846,baseline,0,0,0,10,0,-,0,0,254293,254293,0,0,0,110,110,baseline
118,123764192,1047401,baseline,0,0,0,10,0,-,0,0,211733,211733,0,0,0,110,110,baseline
119,124811593,1048069,baseline,0,0,0,10,0,-,0,0,225762,225762,0,0,0,110,110,baseline
120,125859662,1047287,baseline,0,0,0,10,0,-,0,0,255270,255270,0,0,0,110,110,baseline
121,126906949,1049127,baseline,0,0,0,10,0,-,0,0,228297,228297,0,0,0,110,110,baseline
122,127956076,1044461,baseline,0,0,0,10,0,-,0,0,247288,247288,0,0,0,110,110,baseline
123,129000537,1042937,baseline,0,0,0,10,0,-,0,0,253764,253764,0,0,0,110,110,baseline
124,130043474,1052565,baseline,0,0,0,10,0,-,0,0,259602,259602,0,0,0,110,110,baseline
125,131096039,1047350,baseline,0,0,0,10,0,-,0,0,270958,270958,0,0,0,110,110,baseline
126,132143389,1052809,baseline,0,0,0,10,0,-,0,0,246709,246709,0,0,0,110,110,baseline
127,133196198,1048059,baseline,0,0,0,10,0,-,0,0,247976,247976,0,0,0,110,110,baseline
128,134244257,1053802,baseline,0,0,0,10,0,-,0,0,242566,242566,0,0,0,110,110,baseline
129,135298059,1053942,baseline,0,0,0,10,0,-,0,0,231967,231967,0,0,0,110,110,baseline
130,136352001,1050287,baseline,0,0,0,10,0,-,0,0,261550,261550,0,0,0,111,111,baseline
131,137402288,1047088,baseline,0,0,0,10,0,-,0,0,254258,254258,0,0,0,110,110,baseline
132,138449376,1039752,baseline,0,0,0,10,0,-,0,0,244252,244252,0,0,0,110,110,baseline
