recipient_region,recipient_offset,span_rank,span_offset,emitted_bytes
64,67162195,6,67686483,1299
64,67162195,7,67371091,1276
65,68210996,0,68596020,1313
65,68210996,1,68600116,1289
65,68210996,2,68477236,1288
65,68210996,3,68784436,1274
65,68210996,4,68788532,1251
65,68210996,5,68313396,1247
65,68210996,6,68591924,1242
65,68210996,7,68493620,1215
66,69260290,0,69968898,1336
66,69260290,1,70128642,1335
66,69260290,2,70124546,1334
66,69260290,3,70034434,1318
66,69260290,4,69972994,1314
66,69260290,5,70132738,1311
66,69260290,6,70018050,1297
66,69260290,7,70112258,1291
67,70308921,0,70702137,1347
67,70308921,1,71230521,1345
67,70308921,2,71267385,1322
67,70308921,3,71144505,1321
67,70308921,4,71066681,1285
67,70308921,5,70394937,1275
67,70308921,6,70988857,1273
67,70308921,7,71054393,1268
68,71359090,0,72010354,1339
68,71359090,1,72333938,1327
68,71359090,2,71363186,1323
68,71359090,3,72211058,1312
68,71359090,4,71395954,1305
68,71359090,5,72366706,1288
68,71359090,6,71633522,1275
68,71359090,7,71367282,1268
69,72413180,0,73154556,1401
69,72413180,1,72863740,1332
69,72413180,2,73134076,1330
69,72413180,3,72790012,1314
69,72413180,4,73142268,1305
69,72413180,5,72945660,1300
69,72413180,6,72830972,1278
69,72413180,7,72802300,1276
70,73462010,0,73621754,1307
70,73462010,1,73732346,1293
70,73462010,2,74379514,1289
70,73462010,3,74088698,1273
70,73462010,4,73703674,1255
70,73462010,5,73666810,1250
70,73462010,6,74477818,1240
70,73462010,7,73785594,1236
71,74505116,0,74525596,1386
71,74505116,1,75344796,1356
71,74505116,2,75479964,1351
71,74505116,3,75340700,1348
71,74505116,4,75475868,1320
71,74505116,5,74828700,1302
71,74505116,6,74566556,1295
71,74505116,7,74668956,1285
72,75550861,0,76005517,1434
72,75550861,1,76304525,1369
72,75550861,2,76013709,1361
72,75550861,3,76009613,1358
72,75550861,4,75706509,1328
72,75550861,5,76476557,1318
72,75550861,6,76308621,1316
72,75550861,7,76312717,1304
73,76600145,0,77370193,1338
73,76600145,1,77366097,1329
73,76600145,2,77583185,1277
73,76600145,3,77189969,1270
73,76600145,4,77374289,1270
73,76600145,5,77493073,1269
73,76600145,6,76870481,1263
73,76600145,7,77181777,1261
74,77649549,0,78120589,1297
74,77649549,1,77919885,1283
74,77649549,2,78362253,1270
74,77649549,3,78022285,1258
74,77649549,4,77932173,1242
74,77649549,5,78050957,1242
74,77649549,6,77874829,1239
74,77649549,7,77985421,1238
75,78698950,0,78879174,1303
75,78698950,1,79276486,1276
75,78698950,2,79055302,1270
75,78698950,3,79718854,1261
75,78698950,4,79272390,1258
75,78698950,5,78870982,1256
75,78698950,6,79215046,1255
75,78698950,7,79210950,1239
76,79749109,0,80383989,1319
76,79749109,1,80580597,1314
76,79749109,2,80334837,1255
76,79749109,3,80748533,1243
76,79749109,4,80547829,1237
76,79749109,5,80613365,1234
76,79749109,6,80687093,1233
76,79749109,7,79945717,1223
77,80797080,0,81350040,1293
77,80797080,1,81345944,1266
77,80797080,2,81632664,1261
77,80797080,3,81341848,1250
77,80797080,4,81440152,1232
77,80797080,5,81558936,1227
77,80797080,6,81563032,1227
77,80797080,7,81309080,1220
78,81846058,0,82517802,1349
78,81846058,1,82186026,1301
78,81846058,2,82431786,1274
78,81846058,3,82652970,1272
78,81846058,4,82415402,1244
78,81846058,5,82513706,1233
78,81846058,6,82489130,1230
78,81846058,7,82419498,1228
79,82895685,0,83915589,1271
79,82895685,1,83841861,1231
79,82895685,2,83911493,1222
79,82895685,3,83866437,1177
79,82895685,4,83100485,1169
