region,baseline_payload,candidate_payload,assignment_cost,span_cost,copy_cost,candidate_total,saving_bytes,improvement_percent,status
65,223543,223543,0,0,0,223543,0,0.0000,REJECTED_SAVED
66,200507,200507,0,0,0,200507,0,0.0000,REJECTED_SAVED
67,272064,272064,0,0,0,272064,0,0.0000,REJECTED_SAVED
68,257553,257553,0,0,0,257553,0,0.0000,REJECTED_SAVED
69,254791,254791,0,0,0,254791,0,0.0000,REJECTED_SAVED
70,255713,255713,0,0,0,255713,0,0.0000,REJECTED_SAVED
71,281915,281915,0,0,0,281915,0,0.0000,REJECTED_SAVED
72,272827,272827,0,0,0,272827,0,0.0000,REJECTED_SAVED
73,263613,263613,0,0,0,263613,0,0.0000,REJECTED_SAVED
74,269741,269741,0,0,0,269741,0,0.0000,REJECTED_SAVED
75,240669,240669,0,0,0,240669,0,0.0000,REJECTED_SAVED
76,254380,254380,0,0,0,254380,0,0.0000,REJECTED_SAVED
77,240509,240509,0,0,0,240509,0,0.0000,REJECTED_SAVED
78,227177,227177,0,0,0,227177,0,0.0000,REJECTED_SAVED
79,189314,189314,0,0,0,189314,0,0.0000,REJECTED_SAVED
80,244596,244596,0,0,0,244596,0,0.0000,REJECTED_SAVED
81,259768,259768,0,0,0,259768,0,0.0000,REJECTED_SAVED
82,244052,244052,0,0,0,244052,0,0.0000,REJECTED_SAVED
83,240462,240462,0,0,0,240462,0,0.0000,REJECTED_SAVED
84,189821,189821,0,0,0,189821,0,0.0000,REJECTED_SAVED
85,196765,196765,0,0,0,196765,0,0.0000,REJECTED_SAVED
86,194856,194856,0,0,0,194856,0,0.0000,REJECTED_SAVED
87,199134,199134,0,0,0,199134,0,0.0000,REJECTED_SAVED
88,198975,198975,0,0,0,198975,0,0.0000,REJECTED_SAVED
89,206231,206231,0,0,0,206231,0,0.0000,REJECTED_SAVED
90,238649,238649,0,0,0,238649,0,0.0000,REJECTED_SAVED
91,225853,225853,0,0,0,225853,0,0.0000,REJECTED_SAVED
