offset,length,experts,stream_class,profile,residual_gain,pack_id,status
24555,181,oracle+donor_profile,xml,0,0.25,182746,oracle_only
24739,120,oracle+donor_profile,xml,0,0.25,182747,oracle_only
24862,126,oracle+donor_profile,xml,0,0.25,182748,oracle_only
24991,119,oracle+donor_profile,xml,0,0.25,182749,oracle_only
25113,134,oracle+donor_profile,xml,0,0.25,182750,oracle_only
25250,120,oracle+donor_profile,xml,0,0.25,182751,oracle_only
25373,118,oracle+donor_profile,xml,0,0.25,182752,oracle_only
25494,101,oracle+donor_profile,xml,0,0.25,182753,oracle_only
25598,111,oracle+donor_profile,xml,0,0.25,182754,oracle_only
25712,86,oracle+donor_profile,xml,0,0.25,182755,oracle_only
25801,95,oracle+donor_profile,xml,0,0.25,182756,oracle_only
25899,138,oracle+donor_profile,xml,0,0.25,182757,oracle_only
26040,84,oracle+donor_profile,xml,0,0.25,182758,oracle_only
26127,119,oracle+donor_profile,xml,0,0.25,182759,oracle_only
26249,118,oracle+donor_profile,xml,0,0.25,182760,oracle_only
26370,127,oracle+donor_profile,xml,0,0.25,182761,oracle_only
26500,101,oracle+donor_profile,xml,0,0.25,182762,oracle_only
26604,85,oracle+donor_profile,xml,0,0.25,182763,oracle_only
26692,119,oracle+donor_profile,xml,0,0.25,182764,oracle_only
26814,124,oracle+donor_profile,xml,0,0.25,182765,oracle_only
26941,113,oracle+donor_profile,xml,0,0.25,182766,oracle_only
27057,128,oracle+donor_profile,xml,0,0.25,182767,oracle_only
27188,103,oracle+donor_profile,xml,0,0.25,182768,oracle_only
27294,116,oracle+donor_profile,xml,0,0.25,182769,oracle_only
27413,106,oracle+donor_profile,xml,0,0.25,182770,oracle_only
27522,82,oracle+donor_profile,xml,0,0.25,182771,oracle_only
27607,128,oracle+donor_profile,xml,0,0.25,182772,oracle_only
27738,123,oracle+donor_profile,xml,0,0.25,182773,oracle_only
27864,125,oracle+donor_profile,xml,0,0.25,182774,oracle_only
27992,107,oracle+donor_profile,xml,0,0.25,182775,oracle_only
28102,143,oracle+donor_profile,xml,0,0.25,182776,oracle_only
28248,140,oracle+donor_profile,xml,0,0.25,182777,oracle_only
28391,190,oracle+donor_profile,xml,0,0.25,182778,oracle_only
28584,121,oracle+donor_profile,xml,0,0.25,182779,oracle_only
28708,112,oracle+donor_profile,xml,0,0.25,182780,oracle_only
28823,128,oracle+donor_profile,xml,0,0.25,182781,oracle_only
28954,100,oracle+donor_profile,xml,0,0.25,182782,oracle_only
29057,128,oracle+donor_profile,xml,0,0.25,182783,oracle_only
29188,101,oracle+donor_profile,xml,0,0.25,182784,oracle_only
29292,109,oracle+donor_profile,xml,0,0.25,182785,oracle_only
29404,126,oracle+donor_profile,xml,0,0.25,182786,oracle_only
29533,96,oracle+donor_profile,xml,0,0.25,182787,oracle_only
29632,116,oracle+donor_profile,xml,0,0.25,182788,oracle_only
29751,135,oracle+donor_profile,xml,0,0.25,182789,oracle_only
29889,118,oracle+donor_profile,xml,0,0.25,182790,oracle_only
30010,159,oracle+donor_profile,xml,0,0.25,182791,oracle_only
30172,123,oracle+donor_profile,xml,0,0.25,182792,oracle_only
30298,84,oracle+donor_profile,xml,0,0.25,182793,oracle_only
30385,201,oracle+donor_profile,xml,0,0.25,182794,oracle_only
30589,183,oracle+donor_profile,xml,0,0.25,182795,oracle_only
30775,126,oracle+donor_profile,xml,0,0.25,182796,oracle_only
30904,108,oracle+donor_profile,xml,0,0.25,182797,oracle_only
31015,132,oracle+donor_profile,xml,0,0.25,182798,oracle_only
31150,91,oracle+donor_profile,xml,0,0.25,182799,oracle_only
31244,119,oracle+donor_profile,xml,0,0.25,182800,oracle_only
31366,100,oracle+donor_profile,xml,0,0.25,182801,oracle_only
31469,111,oracle+donor_profile,xml,0,0.25,182802,oracle_only
31583,119,oracle+donor_profile,xml,0,0.25,182803,oracle_only
31705,104,oracle+donor_profile,xml,0,0.25,182804,oracle_only
31812,114,oracle+donor_profile,xml,0,0.25,182805,oracle_only
31929,118,oracle+donor_profile,xml,0,0.25,182806,oracle_only
32050,121,oracle+donor_profile,xml,0,0.25,182807,oracle_only
32174,112,oracle+donor_profile,xml,0,0.25,182808,oracle_only
32289,109,oracle+donor_profile,xml,0,0.25,182809,oracle_only
32401,126,oracle+donor_profile,xml,0,0.25,182810,oracle_only
32530,120,oracle+donor_profile,xml,0,0.25,182811,oracle_only
32653,124,oracle+donor_profile,xml,0,0.25,182812,oracle_only
32780,111,oracle+donor_profile,xml,0,0.25,182813,oracle_only
32894,125,oracle+donor_profile,xml,0,0.25,182814,oracle_only
33022,134,oracle+donor_profile,xml,0,0.25,182815,oracle_only
33159,138,oracle+donor_profile,xml,0,0.25,182816,oracle_only
33300,88,oracle+donor_profile,xml,0,0.25,182817,oracle_only
33391,114,oracle+donor_profile,xml,0,0.25,182818,oracle_only
33508,120,oracle+donor_profile,xml,0,0.25,182819,oracle_only
33631,92,oracle+donor_profile,xml,0,0.25,182820,oracle_only
33726,117,oracle+donor_profile,xml,0,0.25,182821,oracle_only
33846,112,oracle+donor_profile,xml,0,0.25,182822,oracle_only
33961,111,oracle+donor_profile,xml,0,0.25,182823,oracle_only
34075,124,oracle+donor_profile,xml,0,0.25,182824,oracle_only
34202,119,oracle+donor_profile,xml,0,0.25,182825,oracle_only
34324,118,oracle+donor_profile,xml,0,0.25,182826,oracle_only
34445,121,oracle+donor_profile,xml,0,0.25,182827,oracle_only
34569,104,oracle+donor_profile,xml,0,0.25,182828,oracle_only
34676,131,oracle+donor_profile,xml,0,0.25,182829,oracle_only
34810,104,oracle+donor_profile,xml,0,0.25,182830,oracle_only
34917,104,oracle+donor_profile,xml,0,0.25,182831,oracle_only
35024,127,oracle+donor_profile,xml,0,0.25,182832,oracle_only
35154,129,oracle+donor_profile,xml,0,0.25,182833,oracle_only
35286,127,oracle+donor_profile,xml,0,0.25,182834,oracle_only
35416,114,oracle+donor_profile,xml,0,0.25,182835,oracle_only
35533,119,oracle+donor_profile,xml,0,0.25,182836,oracle_only
35655,127,oracle+donor_profile,xml,0,0.25,182837,oracle_only
35785,132,oracle+donor_profile,xml,0,0.25,182838,oracle_only
35920,112,oracle+donor_profile,xml,0,0.25,182839,oracle_only
36035,106,oracle+donor_profile,xml,0,0.25,182840,oracle_only
36144,88,oracle+donor_profile,xml,0,0.25,182841,oracle_only
36235,136,oracle+donor_profile,xml,0,0.25,182842,oracle_only
36374,138,oracle+donor_profile,xml,0,0.25,182843,oracle_only
36515,139,oracle+donor_profile,xml,0,0.25,182844,oracle_only
36657,145,oracle+donor_profile,xml,0,0.25,182845,oracle_only
36805,103,oracle+donor_profile,xml,0,0.25,182846,oracle_only
36911,129,oracle+donor_profile,xml,0,0.25,182847,oracle_only
37043,115,oracle+donor_profile,xml,0,0.25,182848,oracle_only
37161,181,oracle+donor_profile,xml,0,0.25,182849,oracle_only
37345,122,oracle+donor_profile,xml,0,0.25,182850,oracle_only
37470,132,oracle+donor_profile,xml,0,0.25,182851,oracle_only
37605,121,oracle+donor_profile,xml,0,0.25,182852,oracle_only
37729,113,oracle+donor_profile,xml,0,0.25,182853,oracle_only
37845,87,oracle+donor_profile,xml,0,0.25,182854,oracle_only
37935,118,oracle+donor_profile,xml,0,0.25,182855,oracle_only
38056,134,oracle+donor_profile,xml,0,0.25,182856,oracle_only
38193,270,oracle+donor_profile,xml,0,0.25,182857,oracle_only
