pack_id,recipient_offset,recipient_length,candidate_rank,donor_offset,donor_length,phrase_score,signature_hits
32,8296432,261214,0,8019968,4096,3,3
32,8296432,261214,1,8179712,4096,3,3
32,8296432,261214,2,90112,4096,2,2
32,8296432,261214,3,98304,4096,2,2
32,8296432,261214,4,6045696,4096,2,2
32,8296432,261214,5,6668288,4096,2,2
32,8296432,261214,6,6844416,4096,2,2
32,8296432,261214,7,7303168,4096,2,2
32,8296432,261214,8,7630848,4096,2,2
32,8296432,261214,9,7696384,4096,2,2
32,8296432,261214,10,7737344,4096,2,2
32,8296432,261214,11,8036352,4096,2,2
33,8557649,261697,0,8306688,4096,5,5
33,8557649,261697,1,98304,4096,4,4
33,8557649,261697,2,8019968,4096,4,4
33,8557649,261697,3,90112,4096,3,3
33,8557649,261697,4,3108864,4096,3,3
33,8557649,261697,5,4403200,4096,3,3
33,8557649,261697,6,5730304,4096,3,3
33,8557649,261697,7,5947392,4096,3,3
33,8557649,261697,8,6045696,4096,3,3
33,8557649,261697,9,6537216,4096,3,3
33,8557649,261697,10,6668288,4096,3,3
33,8557649,261697,11,6795264,4096,3,3
34,8819349,252283,0,8179712,4096,3,3
34,8819349,252283,1,8306688,4096,3,3
34,8819349,252283,2,32768,4096,2,2
34,8819349,252283,3,196608,4096,2,2
34,8819349,252283,4,6742016,4096,2,2
34,8819349,252283,5,6795264,4096,2,2
34,8819349,252283,6,7122944,4096,2,2
34,8819349,252283,7,7630848,4096,2,2
34,8819349,252283,8,7737344,4096,2,2
34,8819349,252283,9,7876608,4096,2,2
34,8819349,252283,10,7987200,4096,2,2
34,8819349,252283,11,8015872,4096,2,2
35,9071635,257605,0,3108864,4096,5,5
35,9071635,257605,1,2428928,4096,4,4
35,9071635,257605,2,6615040,4096,4,4
35,9071635,257605,3,6725632,4096,4,4
35,9071635,257605,4,6766592,4096,4,4
35,9071635,257605,5,8085504,4096,4,4
35,9071635,257605,6,8679424,4096,4,4
35,9071635,257605,7,8876032,4096,4,4
35,9071635,257605,8,8957952,4096,4,4
35,9071635,257605,9,8376320,4096,3,3
35,9071635,257605,10,24576,4096,2,2
35,9071635,257605,11,32768,4096,2,2
36,9329243,261189,0,8953856,4096,5,5
36,9329243,261189,1,7626752,4096,2,2
36,9329243,261189,2,8925184,4096,2,2
36,9329243,261189,3,8949760,4096,2,2
36,9329243,261189,4,90112,4096,1,1
36,9329243,261189,5,98304,4096,1,1
36,9329243,261189,6,5124096,4096,1,1
36,9329243,261189,7,5242880,4096,1,1
36,9329243,261189,8,5337088,4096,1,1
36,9329243,261189,9,5652480,4096,1,1
36,9329243,261189,10,5816320,4096,1,1
36,9329243,261189,11,6066176,4096,1,1
37,9590435,261670,0,9232384,4096,2,2
37,9590435,261670,1,90112,4096,1,1
37,9590435,261670,2,98304,4096,1,1
37,9590435,261670,3,3108864,4096,1,1
