recipient_region,recipient_offset,candidate_rank,donor_offset,donor_length,phrase_score,source
87,59381,0,47872,256,2,phrase_token
87,59381,1,16128,256,1,phrase_token
87,59381,2,18176,4096,0,recent_fallback
87,59381,3,26368,4096,0,recent_fallback
87,59381,4,34560,4096,0,recent_fallback
87,59381,5,42752,4096,0,recent_fallback
87,59381,6,50944,4096,0,recent_fallback
87,59381,0,47872,256,2,phrase_token
87,59381,1,16128,256,1,phrase_token
87,59381,2,18176,4096,0,recent_fallback
87,59381,3,26368,4096,0,recent_fallback
87,59381,4,34560,4096,0,recent_fallback
87,59381,5,42752,4096,0,recent_fallback
87,59381,6,50944,4096,0,recent_fallback
88,60311,0,47872,256,2,phrase_token
88,60311,1,16128,256,1,phrase_token
88,60311,2,19200,4096,0,recent_fallback
88,60311,3,27392,4096,0,recent_fallback
88,60311,4,35584,4096,0,recent_fallback
88,60311,5,43776,4096,0,recent_fallback
88,60311,6,51968,4096,0,recent_fallback
88,60311,0,47872,256,2,phrase_token
88,60311,1,16128,256,1,phrase_token
88,60311,2,19200,4096,0,recent_fallback
88,60311,3,27392,4096,0,recent_fallback
88,60311,4,35584,4096,0,recent_fallback
88,60311,5,43776,4096,0,recent_fallback
88,60311,6,51968,4096,0,recent_fallback
89,61178,0,47872,256,2,phrase_token
89,61178,1,16128,256,1,phrase_token
89,61178,2,19968,4096,0,recent_fallback
89,61178,3,28160,4096,0,recent_fallback
89,61178,4,36352,4096,0,recent_fallback
89,61178,5,44544,4096,0,recent_fallback
89,61178,6,52736,4096,0,recent_fallback
90,61910,0,49408,256,1,phrase_token
90,61910,1,12544,4096,0,recent_fallback
90,61910,2,20736,4096,0,recent_fallback
90,61910,3,28928,4096,0,recent_fallback
90,61910,4,37120,4096,0,recent_fallback
90,61910,5,45312,4096,0,recent_fallback
90,61910,6,53504,4096,0,recent_fallback
90,61910,0,49408,256,1,phrase_token
90,61910,1,12544,4096,0,recent_fallback
90,61910,2,20736,4096,0,recent_fallback
90,61910,3,28928,4096,0,recent_fallback
90,61910,4,37120,4096,0,recent_fallback
90,61910,5,45312,4096,0,recent_fallback
90,61910,6,53504,4096,0,recent_fallback
91,62512,0,11776,256,2,phrase_token
91,62512,1,11776,1024,2,phrase_token
91,62512,2,21504,4096,0,recent_fallback
91,62512,3,29696,4096,0,recent_fallback
91,62512,4,37888,4096,0,recent_fallback
91,62512,5,46080,4096,0,recent_fallback
91,62512,6,54272,4096,0,recent_fallback
