recipient_group,rank,source_group,overlap_fraction,overlap_windows,distance,class_match,forced
31,19,19,0.000490,16,11540155,0,False
31,20,13,0.000488,16,17831814,0,False
31,21,23,0.000488,16,7337584,0,False
31,22,0,0.000467,12,31482810,0,False
31,23,7,0.000462,15,24138494,0,False
31,24,12,0.000462,15,18889427,0,False
31,25,20,0.000461,15,10491238,0,False
31,26,2,0.000461,14,29384361,0,False
31,27,8,0.000461,15,23083769,0,False
31,28,15,0.000432,14,15733170,0,False
31,29,17,0.000336,11,13635358,0,False
31,30,1,0.000234,7,30433121,0,False
32,0,31,0.000885,29,0,0,False
32,1,30,0.000860,28,1050376,0,False
32,2,10,0.000829,27,22038351,1,False
32,3,27,0.000738,24,4198642,1,False
32,4,22,0.000708,23,9442194,1,False
32,5,29,0.000702,23,2096522,0,False
32,6,28,0.000674,22,3150670,1,False
32,7,14,0.000674,22,17831915,1,False
32,8,26,0.000674,22,5242015,1,False
32,9,4,0.000635,20,28337930,0,False
32,10,0,0.000623,16,32533186,1,False
32,11,6,0.000613,19,26239050,1,False
32,12,19,0.000613,20,12590531,1,False
32,13,24,0.000612,20,7339179,1,False
32,14,1,0.000602,18,31483497,1,False
32,15,5,0.000601,17,27289605,0,False
32,16,25,0.000583,19,6291680,0,False
32,17,18,0.000581,19,13638010,1,False
32,18,23,0.000579,19,8387960,1,False
32,19,2,0.000560,17,30434737,1,False
32,20,15,0.000556,18,16783546,1,False
32,21,7,0.000524,17,25188870,1,False
32,22,12,0.000524,17,19939803,1,False
32,23,16,0.000490,16,15736757,1,False
32,24,11,0.000490,16,20990385,1,False
32,25,9,0.000462,15,23087367,0,False
32,26,20,0.000461,15,11541614,1,False
32,27,8,0.000461,15,24134145,1,False
32,28,21,0.000434,14,10486877,1,False
32,29,13,0.000426,14,18882190,1,False
32,30,3,0.000404,13,29385891,1,False
32,31,17,0.000336,11,14685734,1,False
33,0,26,0.001074,35,6297804,1,False
33,1,10,0.000890,29,23094140,1,False
33,2,6,0.000871,27,27294839,1,False
33,3,12,0.000862,28,20995592,1,False
33,4,18,0.000828,27,14693799,1,False
33,5,25,0.000798,26,7347469,0,False
33,6,32,0.000798,26,0,1,False
33,7,14,0.000736,24,18887704,1,False
33,8,9,0.000708,23,24143156,0,False
33,9,22,0.000708,23,10497983,1,False
33,10,27,0.000707,23,5254431,1,False
33,11,5,0.000707,20,28345394,0,False
33,12,15,0.000680,22,17839335,1,False
33,13,11,0.000675,22,22046174,1,False
33,14,23,0.000675,22,9443749,1,False
33,15,24,0.000675,22,8394968,1,False
33,16,20,0.000646,21,12597403,1,False
33,17,29,0.000644,21,3152311,0,False
33,18,30,0.000614,20,2106165,0,False
33,19,16,0.000614,20,16792546,1,False
33,20,19,0.000614,20,13646320,1,False
33,21,28,0.000614,20,4206459,1,False
33,22,2,0.000593,18,31490526,1,False
33,23,8,0.000584,19,25189934,1,False
33,24,31,0.000583,19,1055789,0,False
33,25,4,0.000571,18,29393719,0,False
33,26,21,0.000496,16,11542666,1,False
33,27,7,0.000493,16,26244659,1,False
33,28,13,0.000491,16,19937979,1,False
33,29,3,0.000373,12,30441680,1,False
33,30,17,0.000368,12,15741523,1,False
33,31,1,0.000368,11,32539286,1,False
34,0,33,0.001074,35,0,0,False
34,1,26,0.001071,35,7343200,0,False
34,2,10,0.001013,33,24139536,0,False
34,3,19,0.000919,30,14691716,0,False
34,4,18,0.000857,28,15739195,0,False
34,5,25,0.000829,27,8392865,1,False
34,6,21,0.000805,26,12588062,0,False
34,7,9,0.000800,26,25188552,1,False
34,8,6,0.000775,24,28340235,0,False
34,9,30,0.000768,25,3151561,0,False
34,10,32,0.000762,25,1045396,0,False
34,11,2,0.000757,23,32535922,0,False
34,12,20,0.000738,24,13642799,0,False
34,13,22,0.000708,23,11543379,0,False
34,14,16,0.000705,23,17837942,0,False
34,15,27,0.000677,22,6299827,0,False
34,16,28,0.000674,22,5251855,0,False
34,17,31,0.000671,22,2101185,0,False
34,18,4,0.000667,21,30439115,1,False
34,19,12,0.000647,21,22040988,0,False
34,20,5,0.000636,18,29390790,1,False
34,21,8,0.000615,20,26235330,0,False
34,22,29,0.000611,20,4197707,1,False
34,23,23,0.000610,20,10489145,0,False
34,24,7,0.000585,19,27290055,0,False
34,25,11,0.000582,19,23091570,0,False
34,26,13,0.000579,19,20983375,0,False
34,27,14,0.000551,18,19933100,0,False
34,28,24,0.000551,18,9440364,0,False
34,29,15,0.000525,17,18884731,0,False
34,30,0,0.000506,13,34634371,0,False
34,31,3,0.000466,15,31487076,0,False
35,0,2,0.001186,36,33588855,1,False
35,1,33,0.000920,30,1052933,1,False
35,2,32,0.000919,30,2098329,1,False
35,3,0,0.000895,23,35687304,1,False
35,4,26,0.000858,28,8396133,1,False
35,5,22,0.000831,27,12596312,1,False
35,6,27,0.000830,27,7352760,1,False
35,7,34,0.000797,26,0,0,False
35,8,1,0.000769,23,34637615,1,False
35,9,10,0.000767,25,25192469,1,False
35,10,25,0.000737,24,9445798,0,False
35,11,28,0.000736,24,6304788,1,False
35,12,6,0.000710,22,29393168,1,False
35,13,5,0.000707,20,30443723,0,False
35,14,4,0.000698,22,31492048,0,False
35,15,15,0.000649,21,19937664,1,False
35,16,9,0.000646,21,26241485,0,False
35,17,18,0.000644,21,16792128,1,False
35,18,19,0.000644,21,15744649,1,False
35,19,31,0.000644,21,3154118,0,False
35,20,20,0.000615,20,14695732,1,False
35,21,14,0.000613,20,20986033,1,False
35,22,17,0.000613,20,17839852,1,False
35,23,12,0.000585,19,23093921,1,False
35,24,30,0.000584,19,4204494,0,False
35,25,16,0.000582,19,18890875,1,False
35,26,11,0.000552,18,24144503,1,False
35,27,13,0.000552,18,22036308,1,False
35,28,29,0.000552,18,5250640,0,False
35,29,23,0.000490,16,11542078,1,False
35,30,8,0.000461,15,27288263,1,False
35,31,24,0.000460,15,10493297,1,False
36,0,5,0.002084,59,31493876,0,False
36,1,4,0.001809,57,32542201,0,False
36,2,2,0.001449,44,34639008,0,False
36,3,3,0.001337,43,33590162,0,False
36,4,6,0.001033,32,30443321,0,False
36,5,10,0.001017,33,26242622,0,False
36,6,18,0.001017,33,17842281,0,False
36,7,26,0.001017,33,9446286,0,False
36,8,32,0.001017,33,3148482,0,False
36,9,22,0.000955,31,13646465,0,False
36,10,14,0.000924,30,22036186,0,False
36,11,35,0.000924,30,0,0,False
36,12,8,0.000894,29,28338416,0,False
36,13,19,0.000863,28,16794802,0,False
36,14,25,0.000863,28,10495951,0,False
36,15,11,0.000801,26,25194656,0,False
36,16,27,0.000801,26,8402913,0,False
36,17,29,0.000801,26,6300793,0,False
36,18,15,0.000772,25,20987817,0,False
36,19,9,0.000770,25,27291638,0,False
36,20,28,0.000770,25,7354941,0,False
36,21,30,0.000770,25,5254647,1,False
36,22,34,0.000770,25,1050153,0,False
36,23,23,0.000740,24,12592231,0,False
36,24,33,0.000740,24,2103086,0,False
36,25,31,0.000709,23,4204271,1,False
36,26,0,0.000700,18,36737457,0,False
36,27,24,0.000678,22,11543450,0,False
36,28,12,0.000647,21,24144074,0,False
36,29,13,0.000647,21,23086461,0,False
36,30,16,0.000616,20,19941028,0,False
36,31,21,0.000588,19,14691148,0,False
37,0,5,0.004663,132,32547604,1,False
37,1,4,0.004380,138,33595929,1,False
37,2,3,0.002923,94,34643890,0,False
37,3,2,0.002700,82,35692736,0,False
37,4,36,0.002410,78,0,0,False
37,5,0,0.000856,22,37791185,0,False
